logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000086013	0.132711029217322	7.53631153525635	8.06696555307652	8.55753252848531e-16	9.05866163335341e-14	25.1151736261106
ENSMUSG00000066829	0.180652912211569	7.60721841058339	8.07163921121703	8.23939862769828e-16	8.79223569691159e-14	25.0316043535784
ENSMUSG00000036916	0.230755384926676	7.52405052902807	8.05151264410779	9.69804337692035e-16	9.9476364312721e-14	25.0032426006785
ENSMUSG00000026648	0.136203222815852	7.6114849566031	8.06124989404142	8.9630851278064e-16	9.338546646546e-14	24.9539682476845
ENSMUSG00000086464	0.174708642690002	7.59890322225059	8.05171233020887	9.68239101560236e-16	9.9476364312721e-14	24.9275498419024
ENSMUSG00000020097	0.147906293820288	7.45533133661596	8.02636644248702	1.18820526069918e-15	1.20017801599782e-13	24.8725067109761
ENSMUSG00000090673	0.142437598378699	7.6261974540213	8.04820818867708	9.96071237309334e-16	1.01384727785208e-13	24.8612056285434
ENSMUSG00000029484	0.268029264952953	7.09781571388525	8.0128601382613	1.32483045787602e-15	1.32804216807693e-13	24.6640845024283
ENSMUSG00000039765	0.157972993162088	7.47643909183178	7.99719957451901	1.50270507681552e-15	1.48386519227037e-13	24.6268950188874
ENSMUSG00000020541	0.224982269249958	7.53296960163512	8.00138874367028	1.45294102961977e-15	1.44551245894202e-13	24.5999167228031
ENSMUSG00000020611	0.163545240801427	7.28348717316601	7.9961790555985	1.51508018126138e-15	1.48500303395931e-13	24.5960288085676
ENSMUSG00000031214	0.268196837613997	7.42739377715944	7.98878562956855	1.60778360245076e-15	1.54160816142235e-13	24.5814329653119
ENSMUSG00000022297	0.254767103866882	7.41000328951738	7.98754333954797	1.62389931812037e-15	1.54585868901933e-13	24.57124411592
ENSMUSG00000039410	0.332269935043601	6.94529299277872	7.99360681333918	1.54671914649608e-15	1.50486674606148e-13	24.5257230135718
ENSMUSG00000099839	0.181140654988457	7.50276424618495	7.98236974891316	1.69274297035787e-15	1.59988392741252e-13	24.4989031025696
ENSMUSG00000073879	0.165490429072459	7.59670559943232	7.99037627114877	1.58737872325285e-15	1.53315293913006e-13	24.438322647498
ENSMUSG00000087528	0.256619992595109	7.42675801442721	7.96623415912736	1.92645246157532e-15	1.79512809658906e-13	24.4052626266342
