GeneID,LogFC,Pval
Gm24682,0.960877721,0.014020221
Gm24610,0.96905598,0.04091663
Gm14422,0.98214164,0.045902993
Ighj4,0.99470273,0.016578369
Gm22720,1.05312389,0.035374582
Gm22121,1.072795918,0.016156003
Mir697,1.07556228,0.011408012
Gm22952,1.082312591,0.034312361
Gm25107,1.098959451,0.001038151
Ch25h,1.125996989,0.008654029
Gm22858,1.134309058,0.023573559
Ighj1,1.22040036,0.005459477
Mir1943,1.241687814,0.010984028
Cd74,1.267966813,0.011637212
Gm17622,1.349323079,0.002536782
Mir5119,1.45501853,0.003111198
