GeneID,LogFC,Pval
Pros1,0.396955176,0.006249493
Tcf7,0.39741759,0.041813568
Sox17,0.397703182,0.010461776
Uaca,0.398380121,0.02253443
Igfbp5,0.398445311,0.047501258
Shb,0.39970086,0.019024319
Ednrb,0.399789376,0.014626006
Apcdd1,0.401318731,0.00209577
Il13ra1,0.401345989,0.021691388
Tenc1,0.402383318,0.009168847
Gm4790,0.402686889,0.029380042
Nfe2l2,0.404867889,0.014283807
Smo,0.405974937,0.001580853
Lamc3,0.406739639,0.039863471
Dab2,0.407626574,0.028944229
Gpr116,0.407826835,0.009067838
Dbndd2,0.408222859,0.049954911
AF251705,0.408328807,0.013345135
Qk,0.409258951,0.040736251
Sox11,0.411207654,0.023694201
Cdk5rap2,0.411785112,0.043978017
Fzd6,0.411829119,0.007208703
Vcan,0.412258581,0.021119527
6230415J03Rik,0.412637961,0.020446047
Nfe2l3,0.413143574,0.021147496
Nfkb2,0.413644282,0.035255793
Fli1,0.414258675,0.033731464
Phactr4,0.417492298,0.017881396
Kcnj8,0.418588112,0.002821323
Msn,0.419059172,0.008094914
Ptrf,0.419743102,0.031230474
B2m,0.419761086,0.008915711
Nid1,0.420294795,0.040739264
Gna12,0.420540418,0.029394324
Rhobtb3,0.422014397,0.030768094
Rgs3,0.424715666,0.025997099
Rapgef4,0.426562983,0.016725159
Pecam1,0.426990418,0.005466215
Homer3,0.428149302,0.048502054
Pltp,0.428840184,0.043174816
Ephb4,0.4291488,0.016227209
Kif13a,0.429603124,0.018653245
Slc25a45,0.430138486,0.038594908
Dock1,0.430387226,0.004181101
Notch1,0.433345894,0.007998444
Gdf10,0.434030981,0.016403528
Esyt1,0.435499442,0.004205718
Eng,0.436508755,0.011003475
Hn1l,0.436584049,0.012789449
Mfng,0.440810691,0.014931281
Bmp2k,0.441189984,0.006757985
Mtus1,0.441209754,0.019832348
Zfp36l2,0.442568303,0.003736005
Prom1,0.442694288,0.00037489
Sox21,0.442900805,0.005859286
Smtn,0.444164804,0.021196166
Efna1,0.44576008,0.025371654
Zfp36l1,0.446192916,0.027695704
2810459M11Rik,0.447286981,0.004801955
Ccp110,0.44736613,0.038936376
Megf10,0.447488667,0.030259414
Elovl1,0.447859643,0.035170433
Gpx8,0.448565013,0.04509156
Lmnb1,0.449627785,0.027102795
Crip1,0.451388134,0.026379898
Nde1,0.451441292,0.042612052
Fam107b,0.452123709,0.007672476
Crybg3,0.452134742,0.047950177
Rnf213,0.45442729,0.023224903
Sema6a,0.459254157,0.017154432
Fam89a,0.460208666,0.019496789
Arpc1b,0.460813218,0.016161426
Gpr62,0.461944281,0.037229586
Krt73,0.462194224,0.024488376
Myl9,0.462245179,0.03005883
Gm29156,0.474631128,0.032108257
Abcc9,0.475784539,0.009894184
Adcy4,0.475986836,0.02829494
Rfx2,0.476437055,0.043374801
Otud7b,0.478214666,0.036518664
H2-D1,0.48049413,0.009758632
Ahnak,0.481029563,0.024026205
Slc12a2,0.482462283,0.04588177
