,lv_diff,regional_diff
ENSMUSG00000001175,0.05702948730297791,2.0443301970257406
ENSMUSG00000001211,0.04558129066545846,1.2199016285427515
ENSMUSG00000001227,0.01544181511378806,1.7651338764395064
ENSMUSG00000001229,0.06208262039637591,1.4064700027172135
ENSMUSG00000001240,0.1382483011668288,1.0838812315401944
ENSMUSG00000001247,0.07243234014423483,1.3733341540633377
ENSMUSG00000001248,0.06218232232558252,1.1755482869001654
ENSMUSG00000001260,0.08619386862562928,1.6493837649849021
ENSMUSG00000001270,0.02842534893668147,1.6169514879037081
ENSMUSG00000001280,0.020110067949083543,3.35138362755212
ENSMUSG00000001285,0.07166840052872753,1.4784856342207078
ENSMUSG00000001288,0.12806976497112776,1.505587503246497
ENSMUSG00000001289,0.030475484872458602,1.934490449969846
ENSMUSG00000001300,0.04739067486814871,1.5829970286034567
ENSMUSG00000001305,0.022121793296196235,1.4077282350251128
ENSMUSG00000001313,0.03217451373622238,1.744114341837867
ENSMUSG00000001323,0.024169388660786995,1.8198511504602728
ENSMUSG00000001334,0.0272056131224436,1.7868606439045491
ENSMUSG00000001366,0.0910230751931082,1.6597606308721986
ENSMUSG00000001376,0.07026684535837191,1.4803203224895662
ENSMUSG00000001380,0.108669791135025,1.6713203266392447
ENSMUSG00000001383,0.06814688703004684,1.8560945268776146
ENSMUSG00000001415,0.0118401517699393,1.876825547867856
ENSMUSG00000001416,0.07592294072153091,1.2740673064870454
ENSMUSG00000001418,0.09792847758642687,1.0758119026885649
ENSMUSG00000001419,0.02281496135068828,1.4184277807825094
ENSMUSG00000001424,0.11163315652684963,1.8641113862492933
ENSMUSG00000001435,0.030276878599276524,1.0
ENSMUSG00000001436,0.030643642353368694,1.5811620229981915
ENSMUSG00000001440,0.10610149284649995,1.2949730811297913
ENSMUSG00000001441,0.15101763442254856,1.7231266447615394
ENSMUSG00000001445,0.14233807651632313,1.1780285265310646
ENSMUSG00000001467,0.06421546868024408,1.7339761742488533
ENSMUSG00000001472,0.0735311140986023,1.311179275185317
ENSMUSG00000001473,0.017784042160990998,1.9099199307752954
ENSMUSG00000001482,0.024257178793415046,1.3226546834956283
ENSMUSG00000001496,0.02098738285727275,1.6747960095155845
ENSMUSG00000001507,0.04395417341199093,1.2230178714545816
ENSMUSG00000001518,0.10630631464416973,1.2528991543939274
ENSMUSG00000001520,0.040505766619342576,1.400675694711521
ENSMUSG00000001521,0.148150386956873,1.0629440352192712
ENSMUSG00000001524,0.11129472623584752,1.1649934744271275
ENSMUSG00000001525,0.17175884666070063,1.293614893643113
ENSMUSG00000001542,0.16138867832172607,1.2440999967302893
ENSMUSG00000001552,0.02542369361950872,1.4005532047039988
ENSMUSG00000001555,0.12455599617029978,1.237720520657093
ENSMUSG00000001569,0.1204350570010923,1.2889842162752332
ENSMUSG00000001576,0.1516541690707306,1.209253458138064
ENSMUSG00000001627,0.017139232840811258,1.2287133558325105
ENSMUSG00000001630,0.1730523368582198,1.1999564469378146
ENSMUSG00000001632,0.04436863160107396,1.2490839255413588
ENSMUSG00000001642,0.1502000014035212,1.5825718768784685
ENSMUSG00000001663,0.09649292847217061,1.4894576928810395
ENSMUSG00000001666,0.09397155449921002,1.3364833284848683
ENSMUSG00000001674,0.10187245438142584,1.17959970680753
ENSMUSG00000001687,0.0548061773922333,1.0629175574640712
ENSMUSG00000001700,0.11734275013813439,1.4217592898360143
ENSMUSG00000001707,0.0520140115592031,1.88184322991254
ENSMUSG00000001729,0.021971392590271088,1.406219095081448
ENSMUSG00000001750,0.12406524192718382,1.0310817068527205
ENSMUSG00000001751,0.07547341547632669,1.2518328469557052
ENSMUSG00000001755,0.046693001048430105,1.432737407302413
ENSMUSG00000001761,0.11830350614088903,1.3567639305814616
ENSMUSG00000001763,0.04388520880615532,1.5989552624355896
ENSMUSG00000001767,0.12641923850792475,1.1640857465100394
ENSMUSG00000001768,0.21676823258565547,1.4803461341516582
ENSMUSG00000001773,0.13476862867195305,1.4028036847593135
ENSMUSG00000001774,0.046800303021633294,1.6597902125641522
ENSMUSG00000001783,0.10086772450071507,1.1921516573513828
ENSMUSG00000001785,0.326242923661114,1.3986717530005994
ENSMUSG00000001786,0.06777716813249457,1.3117945937712168
ENSMUSG00000001794,0.10246298847471386,2.0474175217459996
ENSMUSG00000001802,0.020877343584872143,1.3371103945686207
ENSMUSG00000001829,0.08642776840651167,1.326501358687195
ENSMUSG00000001833,0.034221314554283566,1.3029963302174596
ENSMUSG00000001844,0.06986862300597008,1.4428959681292737
ENSMUSG00000001847,0.07628814800060946,1.5377616073117286
ENSMUSG00000001855,0.008365187560220977,1.844684170988888
ENSMUSG00000001864,0.11002555410682924,1.4186047857895698
ENSMUSG00000001891,0.036443857917161315,1.5242292340293184
ENSMUSG00000001901,0.09412620533494354,1.0376704587626462
ENSMUSG00000001909,0.06576442391543225,1.2499239592435167
ENSMUSG00000001910,0.051301260739511634,1.5300035073743792
ENSMUSG00000001911,0.11693405817899305,1.303706355639747
ENSMUSG00000001924,0.05487510758173486,1.1384212063804677
ENSMUSG00000001930,0.12968993962795072,1.042158923147161
ENSMUSG00000001942,0.06281249297470204,1.5385370690234152
ENSMUSG00000001943,0.032826914129730156,1.1916852347281124
ENSMUSG00000001946,0.037404250148666884,1.1324475388207635
ENSMUSG00000001948,0.06814857167435606,1.3132358677792841
ENSMUSG00000001962,0.06733744192835944,1.5495213627851847
ENSMUSG00000001964,0.07643257874721068,1.4627117431078227
ENSMUSG00000001983,0.012598722111378136,2.176747891593123
