"","x"
"1056","darkmagenta"
"1057","brown4"
"1058","black"
"1059","midnightblue"
"1060","thistle"
"1061","black"
"1062","lavenderblush3"
"1063","blue"
"1064","blue4"
"1065","thistle2"
"1066","turquoise"
"1067","green"
"1068","white"
"1069","mediumpurple1"
"1070","palevioletred1"
"1071","tan"
"1072","skyblue3"
"1073","brown4"
"1074","paleturquoise"
"1075","mediumpurple1"
"1076","grey60"
"1077","blue"
"1078","darkslateblue"
"1079","magenta"
"1080","firebrick4"
"1081","paleturquoise"
"1082","thistle1"
"1083","darkred"
"1084","blue"
"1085","darkorange"
"1086","red"
"1087","navajowhite"
"1088","lightcyan"
"1089","green"
"1090","darkgrey"
"1091","steelblue"
"1092","brown"
"1093","lightcyan1"
"1094","salmon4"
"1095","salmon"
"1096","orangered3"
"1097","mediumpurple4"
"1098","lavenderblush2"
"1099","darkseagreen3"
"1100","lightgreen"
"1101","darkgreen"
"1102","purple"
"1103","darkorange2"
"1104","lightcyan1"
"1105","black"
"1106","plum2"
"1107","lightcyan"
"1108","midnightblue"
"1109","darkred"
"1110","red"
"1111","thistle1"
"1112","black"
"1113","darkred"
"1114","magenta"
"1115","navajowhite1"
"1116","pink"
"1117","brown2"
"1118","saddlebrown"
"1119","green"
"1120","brown2"
"1121","greenyellow"
"1122","palevioletred3"
"1123","white"
"1124","chocolate4"
"1125","white"
"1126","indianred4"
"1127","brown2"
"1128","palevioletred3"
"1129","palevioletred2"
"1130","floralwhite"
"1131","darkolivegreen2"
"1132","salmon4"
"1133","paleturquoise"
"1134","brown"
"1135","tan"
"1136","lightcyan1"
"1137","honeydew1"
"1138","plum2"
"1139","red"
"1140","indianred4"
"1141","black"
"1142","plum2"
"1143","maroon"
"1144","brown4"
"1145","thistle"
"1146","yellow"
"1147","violet"
"1148","darkorange"
"1149","lightgreen"
"1150","darkorange2"
"1151","palevioletred2"
"1152","darkorange"
"1153","lightcyan"
"1154","lavenderblush3"
"1155","antiquewhite2"
"1156","darkgrey"
"1157","darkviolet"
"1158","darkmagenta"
"1159","lavenderblush3"
"1160","greenyellow"
"1161","yellow"
"1162","cyan"
"1163","cyan"
"1164","sienna4"
"1165","lightsteelblue"
"1166","black"
"1167","skyblue"
"1168","brown2"
"1169","lightskyblue4"
"1170","tan"
"1171","lightsteelblue1"
"1172","plum1"
"1173","blueviolet"
"1174","darkslateblue"
"1175","coral3"
"1176","orange"
"1177","darkseagreen4"
"1178","navajowhite1"
"1179","yellow3"
"1180","blue2"
"1181","white"
"1182","darkmagenta"
"1183","mediumpurple2"
"1184","darkgrey"
"1185","brown"
"1186","darkorange"
"1187","steelblue"
"1188","lightcyan1"
"1189","darkmagenta"
"1190","coral3"
"1191","maroon"
"1192","darkorange"
"1193","darkmagenta"
