"","x"
"751","purple"
"752","blue"
"753","darkolivegreen4"
"754","paleturquoise"
"755","grey60"
"756","blue"
"757","lightgreen"
"758","darkmagenta"
"759","sienna3"
"760","orangered4"
"761","tan"
"762","royalblue"
"763","darkgreen"
"764","red"
"765","pink"
"766","brown4"
"767","magenta"
"768","red"
"769","orangered3"
"770","white"
"771","purple"
"772","grey60"
"773","greenyellow"
"774","greenyellow"
"775","bisque4"
"776","greenyellow"
"777","midnightblue"
"778","yellow"
"779","greenyellow"
"780","royalblue"
"781","blue"
"782","turquoise"
"783","turquoise"
"784","purple"
"785","lightcoral"
"786","darkmagenta"
"787","saddlebrown"
"788","lightcyan1"
"789","lightsteelblue1"
"790","lightyellow"
"791","darkseagreen4"
"792","antiquewhite4"
"793","lightyellow"
"794","ivory"
"795","greenyellow"
"796","darkgreen"
"797","magenta"
"798","saddlebrown"
"799","magenta"
"800","turquoise"
"801","black"
"802","pink"
"803","salmon"
"804","cyan"
"805","darkorange"
"806","darkslateblue"
"807","blue"
"808","yellowgreen"
"809","orangered4"
"810","tan"
"811","midnightblue"
"812","salmon"
"813","tan"
"814","lightgreen"
"815","green"
"816","darkmagenta"
"817","black"
"818","navajowhite1"
"819","cyan"
"820","cyan"
"821","lavenderblush3"
"822","cyan"
"823","salmon"
"824","brown4"
"825","lightgreen"
"826","lightsteelblue"
"827","yellowgreen"
"828","midnightblue"
"829","pink"
"830","salmon"
"831","darkolivegreen"
"832","mediumorchid"
"833","cyan"
"834","purple"
"835","midnightblue"
"836","navajowhite2"
"837","green"
"838","turquoise"
"839","yellow"
"840","grey60"
"841","tan"
"842","darkseagreen4"
"843","turquoise"
"844","turquoise"
"845","maroon"
"846","maroon"
"847","orange"
"848","darkgreen"
"849","pink"
"850","cyan"
"851","salmon4"
"852","lightsteelblue1"
"853","floralwhite"
"854","tan"
"855","lavenderblush3"
"856","lightsteelblue1"
"857","midnightblue"
"858","darkmagenta"
"859","lightpink4"
"860","ivory"
"861","darkturquoise"
"862","lightyellow"
"863","lightyellow"
"864","darkolivegreen"
"865","coral2"
"866","saddlebrown"
"867","brown"
"868","skyblue3"
"869","yellow4"
"870","darkorange2"
"871","lightgreen"
"872","tan"
"873","plum"
