"","x"
"992","tan"
"993","black"
"994","darkgrey"
"995","salmon"
"996","salmon"
"997","turquoise"
"998","skyblue2"
"999","blue"
"1000","brown"
"1001","cyan"
"1002","yellow"
"1003","midnightblue"
"1004","steelblue"
"1005","blue"
"1006","purple"
"1007","magenta"
"1008","salmon"
"1009","turquoise"
"1010","paleturquoise"
"1011","skyblue3"
"1012","turquoise"
"1013","black"
"1014","royalblue"
"1015","lightcyan"
"1016","darkolivegreen"
"1017","royalblue"
"1018","thistle1"
"1019","floralwhite"
"1020","darkred"
"1021","lightsteelblue1"
"1022","maroon"
"1023","red"
"1024","lightpink4"
"1025","cyan"
"1026","red"
"1027","brown"
"1028","salmon4"
"1029","magenta4"
"1030","turquoise"
"1031","greenyellow"
"1032","red"
"1033","salmon4"
"1034","greenyellow"
"1035","brown"
"1036","cyan"
"1037","cyan"
"1038","blue"
"1039","midnightblue"
"1040","purple"
"1041","skyblue"
"1042","cyan"
"1043","blue"
"1044","black"
"1045","magenta"
"1046","royalblue"
"1047","skyblue3"
"1048","black"
"1049","yellow"
"1050","lightcoral"
"1051","yellow"
"1052","red"
"1053","white"
"1054","lightyellow"
"1055","black"
"1056","honeydew1"
"1057","saddlebrown"
"1058","bisque4"
"1059","green"
"1060","navajowhite2"
"1061","lightcyan"
"1062","tan"
"1063","green"
"1064","brown"
"1065","orange"
"1066","turquoise"
"1067","palevioletred3"
"1068","brown"
"1069","salmon2"
"1070","pink"
"1071","pink"
"1072","lightsteelblue1"
"1073","turquoise"
"1074","red"
"1075","turquoise"
"1076","cyan"
"1077","yellow"
"1078","green"
"1079","yellow"
"1080","skyblue"
"1081","turquoise"
"1082","skyblue"
"1083","thistle2"
"1084","salmon4"
"1085","brown"
"1086","orange"
"1087","purple"
"1088","mediumpurple3"
"1089","green"
"1090","thistle1"
"1091","blue"
"1092","grey60"
"1093","salmon"
"1094","darkred"
"1095","coral2"
"1096","lavenderblush2"
"1097","pink"
"1098","plum1"
"1099","darkred"
"1100","thistle3"
"1101","indianred4"
"1102","pink"
"1103","blue2"
"1104","brown"
"1105","salmon"
"1106","purple"
"1107","tan"
"1108","honeydew"
"1109","lightpink3"
"1110","saddlebrown"
"1111","darkolivegreen4"
"1112","grey60"
"1113","lightsteelblue"
"1114","green"
"1115","brown"
"1116","turquoise"
"1117","lightsteelblue1"
"1118","cyan"
"1119","mediumpurple2"
"1120","paleturquoise"
"1121","lightyellow"
"1122","antiquewhite2"
"1123","greenyellow"
"1124","brown"
"1125","indianred4"
"1126","yellow"
"1127","turquoise"
"1128","white"
"1129","red"
"1130","sienna3"
"1131","yellow3"
"1132","honeydew"
"1133","yellow"
"1134","antiquewhite4"
"1135","brown"
"1136","greenyellow"
"1137","green"
"1138","darkgrey"
"1139","skyblue"
"1140","turquoise"
"1141","skyblue3"
"1142","lightgreen"
"1143","black"
"1144","darkmagenta"
"1145","purple"
"1146","green"
"1147","yellow"
"1148","darkseagreen4"
"1149","coral3"
"1150","turquoise"
"1151","cyan"
"1152","purple"
"1153","royalblue"
"1154","pink"
"1155","steelblue"
"1156","darkseagreen3"
"1157","magenta"
"1158","brown"
